Species,Diet ( I=0 P=1 B=2),DietEcotype,Farming,SIZE 3state,SIZE 5state,MaxSizeTL
Abudefduf_abdominalis,0,I,0,L,XL,30
Abudefduf_bengalensis,2,B,0,L,L,17
Abudefduf_caudobimaculatus,0,I,0,L,L,17.55
Abudefduf_concolor,2,B,0,L,L,19
Abudefduf_conformis,0,I,0,L,L,17.03
Abudefduf_declivifrons,2,B,0,L,XL,22.14
Abudefduf_hoefleri,0,I,0,L,L,20
Abudefduf_lorenzi,0,I,0,L,L,18
Abudefduf_margariteus,0,I,0,L,XL,22.19
Abudefduf_natalensis,2,B,0,L,L,17
Abudefduf_nigrimargo,1,P,0,L,L,15.6
Abudefduf_notatus,2,B,0,L,L,17
Abudefduf_saxatilis,0,I,0,L,XL,22.9
Abudefduf_septemfasciatus,2,B,0,L,XL,23
Abudefduf_sexfasciatus,0,I,0,L,L,19
Abudefduf_sordidus,2,B,0,L,XL,24
Abudefduf_sparoides,1,P,0,L,L,16
Abudefduf_taurus,2,B,0,L,XL,25
Abudefduf_troschelii,0,I,0,L,L,20
Abudefduf_vaigiensis,0,I,0,L,L,20
Abudefduf_whitleyi,0,I,0,L,L,19.34
Acanthochromis_polyacanthus,0,I,0,M,M,14
Altrichthys_alelia,0,I,0,S,S,7.5
Altrichthys_azurelineatus,0,I,0,S,S,9.29
Altrichthys_curatus,1,P,0,S,XS,6.5
Amblyglyphidodon_aureus,1,P,0,M,M,13
Amblyglyphidodon_batunai,0,I,0,S,S,10
Amblyglyphidodon_curacao,0,I,0,M,M,11
Amblyglyphidodon_flavilatus,0,I,0,S,S,10
Amblyglyphidodon_flavopurpureus,1,P,0,L,L,15.6
Amblyglyphidodon_indicus,0,I,0,M,M,11.2
Amblyglyphidodon_leucogaster,1,P,0,M,M,13
Amblyglyphidodon_orbicularis,1,P,0,M,M,11.29
Amblyglyphidodon_silolona,1,P,0,M,M,12.5
Amblyglyphidodon_ternatensis,1,P,0,M,M,14.39
Amblypomacentrus_breviceps,1,P,0,S,S,8.5
Amblypomacentrus_clarus,1,P,0,S,XS,6
Amphiprion_akallopisos,2,B,0,M,M,13.33
Amphiprion_akindynos,0,I,0,M,M,12.99
Amphiprion_allardi,1,P,0,L,L,15
Amphiprion_barberi,1,P,0,M,M,10.73
Amphiprion_bicinctus,1,P,0,M,M,14
Amphiprion_chagosensis,1,P,0,M,M,11
Amphiprion_chrysogaster,1,P,0,L,L,15
Amphiprion_chrysopterus,1,P,0,L,L,17
Amphiprion_clarkii,0,I,0,L,L,20.49
Amphiprion_ephippium,0,I,0,M,M,14
Amphiprion_frenatus,1,P,0,M,M,14
Amphiprion_latezonatus,1,P,0,M,M,14
Amphiprion_latifasciatus,1,P,0,M,M,13
Amphiprion_leucokranos,1,P,0,M,M,12
Amphiprion_mccullochi,1,P,0,M,M,12
Amphiprion_melanopus,1,P,0,M,M,12
Amphiprion_nigripes,1,P,0,M,M,11
Amphiprion_ocellaris,1,P,0,M,M,11
Amphiprion_omanensis,1,P,0,M,M,14
Amphiprion_pacificus,1,P,0,S,XS,5.96
Amphiprion_percula,1,P,0,M,M,11
Amphiprion_perideraion,1,P,0,S,S,10
Amphiprion_polymnus,1,P,0,M,M,13
Amphiprion_rubrocinctus,1,P,0,M,M,12
Amphiprion_sandaracinos,1,P,0,M,M,14
Amphiprion_sebae,1,P,0,L,L,16
Amphiprion_tricinctus,1,P,0,M,M,12
Azurina_hirundo,1,P,0,L,L,17.14
Cheiloprion_labiatus,2,B,0,S,S,7.33
Chromis_abrupta,1,P,0,S,S,8.62
Chromis_abyssicola,1,P,0,M,M,16.25
Chromis_abyssus,1,P,0,M,M,13.19
Chromis_acares,1,P,0,S,XS,5.43
Chromis_agilis,0,I,0,M,M,10.84
Chromis_albicauda,1,P,0,L,L,18.54
Chromis_albomaculata,1,P,0,L,L,19.61
Chromis_alleni,1,P,0,S,S,9.22
Chromis_alpha,1,P,0,M,M,11.97
Chromis_alta,1,P,0,L,L,16.17
Chromis_amboinensis,1,P,0,S,S,10
Chromis_analis,1,P,0,L,L,17
Chromis_atrilobata,1,P,0,M,M,13.4
Chromis_atripectoralis,1,P,0,M,M,12
Chromis_atripes,1,P,0,S,S,9
Chromis_bami,1,P,0,M,M,7.61
Chromis_bowesi,1,P,0,S,S,10.66
Chromis_brevirostris,1,P,0,S,S,9.21
Chromis_cadenati,1,P,0,L,XL,21.51
Chromis_caudalis,1,P,0,M,M,11.77
Chromis_chromis,1,P,0,L,XL,25
Chromis_chrysura,1,P,0,L,L,18.52
Chromis_cinerascens,1,P,0,M,M,13
Chromis_circumaurea,1,P,0,M,M,13.25
Chromis_crusma,1,P,0,L,L,18.13
Chromis_cyanea,1,P,0,L,L,15
Chromis_degruyi,1,P,0,M,M,10.66
Chromis_delta,1,P,0,S,S,7
Chromis_dimidiata,1,P,0,S,S,9
Chromis_dispilus,1,P,0,L,XL,27.3
Chromis_earina,1,P,0,S,S,8.96
Chromis_enchrysura,1,P,0,S,S,10
Chromis_fatuhivae,1,P,0,S,S,9.43
Chromis_fieldi,1,P,0,S,S,6.95
Chromis_flavapicis,1,P,0,M,M,13.34
Chromis_flavaxilla,1,P,0,S,S,7.2
Chromis_fumea,1,P,0,M,M,13.07
Chromis_gunting,1,P,0,S,S,10.01
Chromis_hangganan,1,P,0,S,S,7.54
Chromis_hanui,1,P,0,S,S,7.8
Chromis_howsoni,1,P,0,S,S,8
Chromis_insolata,1,P,0,L,L,16
Chromis_iomelas,1,P,0,S,S,10.18
Chromis_katoi,1,P,0,M,M,13.65
Chromis_kennensis,1,P,0,L,L,16
Chromis_klunzingeri,0,I,0,S,S,8.45
Chromis_lepidolepis,1,P,0,S,S,9
Chromis_leucura,1,P,0,S,S,8.5
Chromis_limbata,1,P,0,L,L,16.24
Chromis_limbaughi,1,P,0,M,M,11.3
Chromis_lineata,1,P,0,S,S,7
Chromis_margaritifer,0,I,0,S,S,9
Chromis_mirationis,1,P,0,M,M,13.77
Chromis_multilineata,1,P,0,L,L,20
Chromis_nigrura,1,P,0,S,XS,6
Chromis_nitida,1,P,0,S,S,8.88
Chromis_notata,1,P,0,L,L,17
Chromis_okamurai,1,P,0,M,M,11.81
Chromis_opercularis,0,I,0,L,L,17
Chromis_ovalis,1,P,0,L,L,19.5
Chromis_ovatiformes,1,P,0,S,S,10
Chromis_pamae,1,P,0,M,M,13.52
Chromis_pelloura,1,P,0,M,M,14
Chromis_pembae,0,I,0,M,M,13
Chromis_punctipinnis,1,P,0,L,XL,34.39
Chromis_randalli,1,P,0,L,L,15
