Species_List,Diet ( I=0 P=1 B=2),DietEcotype,Farming,SIZE 3state,SIZE 5state,MaxSizeTL,BodyDepth
Abudefduf_abdominalis,0,I,0,L,XL,30,55.6
Abudefduf_bengalensis,2,B,0,L,L,17,55.5
Abudefduf_caudobimaculatus,0,I,0,L,L,17.55,56.6
Abudefduf_concolor,2,B,0,L,L,19,54
Abudefduf_conformis,0,I,0,L,L,17.03,55.6
Abudefduf_declivifrons,2,B,0,L,XL,22.14,55
Abudefduf_hoefleri,0,I,0,L,L,20,54
Abudefduf_lorenzi,0,I,0,L,L,18,55.6
Abudefduf_margariteus,0,I,0,L,XL,22.19,52.6
Abudefduf_natalensis,2,B,0,L,L,17,57
Abudefduf_nigrimargo,1,P,0,L,L,15.6,60
Abudefduf_notatus,2,B,0,L,L,17,55.6
Abudefduf_saxatilis,0,I,0,L,XL,22.9,58
Abudefduf_septemfasciatus,2,B,0,L,XL,23,55.6
Abudefduf_sexfasciatus,0,I,0,L,L,19,52.6
Abudefduf_sordidus,2,B,0,L,XL,24,60.6
Abudefduf_sparoides,1,P,0,L,L,16,57.1
Abudefduf_taurus,2,B,0,L,XL,25,52.6
Abudefduf_troschelii,0,I,0,L,L,20,55.6
Abudefduf_vaigiensis,0,I,0,L,L,20,60.6
Abudefduf_whitleyi,0,I,0,L,L,19.34,55.6
Acanthochromis_polyacanthus,0,I,0,M,M,14,55.6
Altrichthys_alelia,0,I,0,S,S,7.5,58
Altrichthys_azurelineatus,0,I,0,S,S,9.29,57.1
Altrichthys_curatus,1,P,0,S,XS,6.5,52
Amblyglyphidodon_aureus,1,P,0,M,M,13,62.5
Amblyglyphidodon_batunaorum,0,I,0,S,S,10,52
Amblyglyphidodon_curacao,0,I,0,M,M,11,60.1
Amblyglyphidodon_flavilatus,0,I,0,S,S,10,60.1
Amblyglyphidodon_flavopurpureus,1,P,0,L,L,15.6,53
Amblyglyphidodon_indicus,0,I,0,M,M,11.2,62
Amblyglyphidodon_leucogaster,1,P,0,M,M,13,60.1
Amblyglyphidodon_melanopterus,1,P,0,M,M,11,64
Amblyglyphidodon_orbicularis,1,P,0,M,M,11.29,66
Amblyglyphidodon_silolona,1,P,0,M,M,12.5,56
Amblyglyphidodon_ternatensis,1,P,0,M,M,14.39,58.8
Amblypomacentrus_annulatus,0,I,0,S,S,8,48.8
Amblypomacentrus_breviceps,1,P,0,S,S,8.5,45.4
Amblypomacentrus_clarus,1,P,0,S,XS,6,39
Amblypomacentrus_kuiteri,1,P,0,S,S,7.5,45
Amblypomacentrus_tricinctus,0,I,0,S,XS,6,44.4
Amphiprion_akallopisos,2,B,0,M,M,13.33,43.5
Amphiprion_akindynos,0,I,0,M,M,12.99,52.6
Amphiprion_allardi,1,P,0,L,L,15,52.6
Amphiprion_barberi,1,P,0,M,M,10.73,56
Amphiprion_biaculeatus,1,P,0,L,L,17,47.6
Amphiprion_bicinctus,1,P,0,M,M,14,54
Amphiprion_chagosensis,1,P,0,M,M,11,54
Amphiprion_chrysogaster,1,P,0,L,L,15,50
Amphiprion_chrysopterus,1,P,0,L,L,17,54
Amphiprion_clarkii,0,I,0,L,L,20.49,54
Amphiprion_ephippium,0,I,0,M,M,14,54
Amphiprion_frenatus,1,P,0,M,M,14,52.6
Amphiprion_latezonatus,1,P,0,M,M,14,54
Amphiprion_latifasciatus,1,P,0,M,M,13,55.6
Amphiprion_leucokranos,1,P,0,M,M,12,46.5
Amphiprion_mccullochi,1,P,0,M,M,12,54
Amphiprion_melanopus,1,P,0,M,M,12,55.6
Amphiprion_nigripes,1,P,0,M,M,11,47.6
Amphiprion_ocellaris,1,P,0,M,M,11,44.4
Amphiprion_omanensis,1,P,0,M,M,14,50
Amphiprion_pacificus,1,P,0,S,XS,5.96,46
Amphiprion_percula,1,P,0,M,M,11,44.4
Amphiprion_perideraion,1,P,0,S,S,10,41.7
Amphiprion_polymnus,1,P,0,M,M,13,44.4
Amphiprion_rubrocinctus,1,P,0,M,M,12,55.6
Amphiprion_sandaracinos,1,P,0,M,M,14,43.5
Amphiprion_sebae,1,P,0,L,L,16,48.7
Amphiprion_tricinctus,1,P,0,M,M,12,54
Azurina_atrilobata,1,P,0,M,M,13.4,40
Azurina_brevirostris,1,P,0,S,S,9.21,61
